Qty-1,Part References,Value,Package,Mfg Part Num,Mfg Name,VID,Vendor Part Num,Description
1,IC1,TEENSY-3.2,TEENSY-3.2,,*,*,*,*
1,R5,PTC 0.25A,R0603,PRG21BC2R2MM1RA,*,*,*,*
1,IC2,LM22674,LM22674,LM22674MRE-5.0/NOPB,*,*,*,*
1,L1,DR331-513AE,SMD,DR331-513AECT-ND,*,*,*,*
1,L2,VLP8040T-151M,VLP8040T-151M,VLP8040T-151M,*,*,*,*
3,"D1, D2, D5",,DO-214AA,1KSMB36CA,*,*,*,*
2,"X1, X2",,S4B-XH-A,S4B-XH-A,JST,DK,455-2243-ND,"XH connector header, 2.5mm pitch, through-hole, right-angle, 4 positions"
1,D3,,SOD123,DB2W60400L,*,*,*,*
2,"R1, R2",1k,R0603,RC0603FR-071KL,*,*,*,*
2,"R3, R4",2.2k,R0603,RC0603FR-072K2L,*,*,*,*
1,X4,,S2B-XH-A,S2B-XH-A,JST,DK,455-2257-ND,"XH connector header, 2.5mm pitch, through-hole, right-angle, 2 positions"
9,"C6, C8, C9, C11, C12, C15, C17, C18, C19",0.1u,C0603,C1608X7R1E104K080AA,TDK,DK,445-1316-1-ND,"Capacitor, Ceramic, .1uF 25V 10% 0603 X7R"
1,C1,10n,C0805,C0805C103K5RACTU,*,*,*,*
8,"C2, C3, C4, C5, C7, C10, C13, C16",10u,C0805,TMK212BBJ106KG-T,*,*,*,*
1,IC5,ADM3054,SOIC-16,ADM3054WBRWZ,*,*,*,*
1,IC7,INA233,VSSOP-10,INA233AIDGS,*,*,*,*
2,"IC3, IC4",ISO7421,SOIC8,ISO7421D,*,*,*,*
1,IC6,L78L05,SOIC8,L78L05ABD13TR,*,*,*,*
1,X3,XH-3CKT-RA-THRU,S3B-XH-A,S3B-XH-A,JST,DK,455-2250-ND,"XH connector header, 2.5mm pitch, through-hole, right-angle, 3 positions"
